2025_07_29_07_12_06_L_001.csv,ブーム:,L,穿孔No.:,1,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
82,8,51,6,33,1.42,1.901,14.6,3.9,5.3,0,1,68,1446,-34521.239,33251.021,54.319,3863.289,-0.191,5.825,43.6838,78.5212,-1.1892,11.4788,,1,1,3866,,,,,,
83,8,51,6,233,1.428,1.764,14.4,3.9,5.4,0,1,71.9,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
84,8,51,6,433,1.437,1.673,14.3,3.8,5.6,0,1,77.9,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
85,8,51,6,633,1.445,1.704,14.5,3.6,5.6,0,1,78.7,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
86,8,51,6,833,1.452,1.78,14.6,4,5.4,0,1,72.8,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
87,8,51,7,33,1.46,1.688,14.4,4.1,5.3,0,1,74.2,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
88,8,51,7,233,1.469,1.597,14.4,3.7,5.7,0,1,83.9,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
89,8,51,7,433,1.478,1.749,14.6,4,5.4,0,1,74.3,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
90,8,51,7,633,1.487,1.78,14.4,4.1,5.3,0,1,70.3,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
91,8,51,7,833,1.494,1.688,14.5,4.1,5.4,0,1,75.4,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
92,8,51,8,34,1.501,1.475,14.5,4,5.5,0,1,88.9,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
93,8,51,8,233,1.508,1.445,14.5,3.8,5.6,0,1,93.7,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
94,8,51,8,433,1.515,1.46,14.5,3.5,5.8,0,1,94.5,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
95,8,51,8,633,1.521,1.445,14.4,3.6,5.6,0,1,91.5,1446,-34521.224,33251.065,54.325,3863.248,-0.17,5.831,43.7222,78.4424,-1.1509,11.5576,,1,1,3866,,,,,,
96,8,51,8,833,1.528,1.43,14.4,3.8,5.5,0,1,90.3,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
97,8,51,9,33,1.535,1.399,14.5,4,5.4,0,1,92.6,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
98,8,51,9,233,1.544,1.475,14.5,4.3,5.2,0,1,84.4,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
99,8,51,9,433,1.551,1.582,14.6,4.5,5.1,0,1,78.5,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
100,8,51,9,633,1.556,1.475,14.6,4.2,5.3,0,1,86.7,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
101,8,51,9,833,1.563,1.43,14.6,4.2,5.5,0,1,92.2,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
102,8,51,10,33,1.572,1.521,14.5,3.9,5.5,0,1,85.5,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
103,8,51,10,233,1.58,1.551,14.5,3.9,5.4,0,1,82.6,1446,-34521.17,33251.1,54.357,3863.185,-0.183,5.863,43.744,78.3702,-1.1291,11.6298,,1,1,3866,,,,,,
104,8,51,10,433,1.588,1.719,14.4,4.1,5.3,0,1,72.9,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
105,8,51,10,633,1.597,1.734,14.4,4.3,5.3,0,1,72.6,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
106,8,51,10,833,1.606,1.749,14.5,3.7,5.7,0,1,78.1,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
107,8,51,11,33,1.615,1.734,14.4,3.5,5.6,0,1,76.6,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
108,8,51,11,233,1.622,1.749,14.4,3.6,5.6,0,1,76.2,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
109,8,51,11,433,1.63,1.643,14.4,3.7,5.6,0,1,80.1,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
110,8,51,11,633,1.637,1.536,14.4,3.9,5.5,0,1,85.2,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
111,8,51,11,833,1.644,1.475,14.4,3.7,5.7,0,1,91.2,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
112,8,51,12,33,1.651,1.536,14.5,3.7,5.5,0,1,85.2,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
113,8,51,12,233,1.658,1.551,14.5,4.2,5.5,0,1,84.1,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
114,8,51,12,433,1.666,1.551,14.5,4.1,5.2,0,1,80.2,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
115,8,51,12,633,1.676,1.673,14.6,4.3,5.2,0,1,74.6,1446,-34521.152,33251.14,54.34,3863.143,-0.168,5.847,43.7281,78.5789,-1.145,11.4211,,1,1,3866,,,,,,
116,8,51,12,833,1.684,1.84,14.6,4.3,5.4,0,1,70.5,1446,-34521.092,33251.186,54.34,3863.068,-0.177,5.846,43.6631,78.673,-1.21,11.327,,1,1,3866,,,,,,
117,8,51,13,33,1.694,1.81,14.6,3.9,5.5,0,1,72.7,1446,-34521.092,33251.186,54.34,3863.068,-0.177,5.846,43.6631,78.673,-1.21,11.327,,1,1,3866,,,,,,
