2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
87,8,3,56,733,0.531,1.551,13.9,6,4.9,0,1,69.8,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
88,8,3,56,933,0.537,1.582,13.8,5.4,5.2,0,1,71.1,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
89,8,3,57,133,0.542,1.597,13.9,5.8,5.4,0,1,73.4,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
90,8,3,57,333,0.547,1.582,13.9,5.8,5,0,1,70.1,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
91,8,3,57,533,0.552,1.582,13.8,5.4,5,0,1,69.5,8371,-34531.277,33246.652,49.005,3873.485,3.795,0.511,226.8405,89.3872,-178.0325,0.6128,,1,1,3866,,,,,,
92,8,3,57,733,0.558,1.627,13.9,5.4,5.4,0,1,73.2,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
93,8,3,57,933,0.564,1.749,13.9,6.2,5,0,1,62.9,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
94,8,3,58,133,0.57,1.764,13.8,5.4,5,0,1,62,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
95,8,3,58,333,0.575,1.688,13.8,5,5.5,0,1,70.7,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
96,8,3,58,533,0.581,1.688,13.9,5.7,5.4,0,1,69.7,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
97,8,3,58,733,0.587,1.719,13.8,5.9,5,0,1,63.1,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
98,8,3,58,934,0.592,1.688,13.8,5,5.3,0,1,68.6,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
99,8,3,59,133,0.598,1.643,13.9,5.4,5.5,0,1,73.4,8371,-34531.304,33246.631,49.024,3873.519,3.799,0.53,226.7641,89.3315,-178.1089,0.6685,,1,1,3866,,,,,,
100,8,3,59,333,0.603,1.688,13.9,6.1,4.9,0,1,63.7,8371,-34531.326,33246.598,49.007,3873.558,3.792,0.513,226.8263,89.3728,-178.0468,0.6272,,1,1,3866,,,,,,
101,8,3,59,533,0.609,1.688,13.8,5.5,5,0,1,64.7,8371,-34531.326,33246.598,49.007,3873.558,3.792,0.513,226.8263,89.3728,-178.0468,0.6272,,1,1,3866,,,,,,
